"year(cout)","month(cout)","deweyBin","Mexico","Ireland","Spain","Israel","Egypt","Vietnam","Germany","Russia","China","Cuba","Iraq","Japan"
2011,3,358,0,0,0,0,0,0,0,0,0,0,1,1
2011,6,358,0,0,0,0,0,1,0,0,0,0,1,0
2011,9,358,0,0,0,0,0,0,1,0,0,0,0,0
2011,10,358,0,0,0,0,0,1,0,0,0,0,0,0
2011,11,358,0,0,0,0,0,0,1,0,0,0,0,0
2012,10,358,0,0,0,0,0,1,0,0,0,0,0,0
2013,1,358,0,0,0,0,0,0,1,0,0,0,0,0
2013,8,358,0,0,0,0,0,0,1,0,0,0,0,0
2014,4,358,0,0,0,0,0,0,1,0,0,0,0,0
2014,12,358,0,0,0,0,0,0,1,0,0,0,0,0
2015,9,358,0,0,0,0,0,0,1,0,0,0,0,0
2015,10,358,0,0,0,0,0,0,2,0,0,0,0,0
2015,11,358,0,0,0,0,0,0,1,0,0,0,0,0
2015,12,358,0,0,0,0,0,1,0,0,0,0,0,0
2016,3,358,0,0,0,0,0,0,1,0,0,0,0,0
2016,9,358,0,0,0,0,0,1,0,0,0,0,0,0
2006,1,359,0,0,0,0,0,2,0,0,0,0,1,2
2006,2,359,0,0,0,0,0,0,0,1,0,0,1,0
2006,3,359,0,0,0,0,0,0,1,2,0,0,2,2
2006,4,359,0,0,0,0,0,1,1,2,0,0,0,0
2006,5,359,0,0,0,0,0,1,0,0,0,0,1,0
2006,6,359,0,0,0,0,0,0,0,1,0,0,2,0
2006,7,359,0,0,0,0,0,1,1,0,0,0,2,0
2006,8,359,0,0,0,0,0,1,0,0,0,0,2,0
2006,9,359,0,0,0,0,0,0,0,0,0,0,1,0
2006,10,359,0,0,0,0,0,0,0,0,0,0,1,3
2006,12,359,0,0,0,0,0,0,0,0,0,0,1,1
2007,3,359,0,0,0,0,0,0,0,1,0,0,0,1
2007,4,359,0,0,0,0,0,1,0,0,0,0,0,0
2007,7,359,0,0,0,0,0,1,0,1,0,0,0,1
2007,8,359,0,0,2,0,0,0,0,0,0,0,0,0
2007,9,359,0,0,0,0,0,0,0,0,0,0,1,0
2007,11,359,0,0,0,0,0,0,0,2,0,0,0,1
2007,12,359,0,0,0,0,0,0,0,0,0,0,1,1
2008,1,359,0,0,0,0,0,0,1,0,1,0,0,0
2008,2,359,0,0,0,0,0,0,5,1,0,0,0,1
2008,3,359,0,0,0,0,0,0,4,0,0,0,0,0
2008,4,359,0,0,1,0,0,0,2,1,0,0,0,0
2008,5,359,0,0,0,0,0,1,2,1,0,0,1,0
2008,6,359,0,0,0,0,0,0,2,0,0,0,0,0
2008,7,359,0,0,0,0,0,0,0,0,0,0,1,0
2008,8,359,0,0,0,0,0,0,0,0,0,0,0,2
2008,9,359,0,0,0,0,0,0,1,0,0,0,0,0
2008,10,359,0,0,0,0,0,0,0,0,0,0,2,0
2008,11,359,0,0,0,0,0,0,0,0,0,0,0,1
2008,12,359,0,0,0,0,0,0,1,0,0,0,0,1
2009,2,359,0,0,0,0,0,0,0,2,0,0,0,1
2009,4,359,0,0,0,0,0,0,1,0,0,0,1,1
2009,6,359,0,0,0,0,0,0,0,1,0,0,0,0
2009,7,359,0,0,0,0,0,0,2,0,0,0,0,0
2009,9,359,0,0,0,0,0,0,0,1,0,0,0,0
2009,10,359,0,0,0,0,0,0,0,0,0,0,0,2
2009,11,359,0,0,0,0,0,0,0,0,0,3,0,0
2009,12,359,0,0,0,0,0,0,0,0,0,3,0,1
2010,1,359,0,0,1,0,0,0,0,0,0,2,0,0
2010,2,359,0,0,0,0,0,0,0,0,0,1,0,0
2010,3,359,0,0,0,0,0,0,0,0,0,1,0,1
2010,4,359,0,0,0,0,0,0,0,0,0,2,0,0
2010,5,359,0,0,0,0,0,0,0,1,0,1,1,1
2010,6,359,0,0,0,0,0,0,0,1,0,1,1,0
2010,7,359,0,0,0,0,0,0,0,0,0,1,0,0
2010,9,359,0,0,0,0,0,0,1,2,0,1,0,2
2010,11,359,0,0,0,0,0,0,1,0,0,0,0,0
2010,12,359,0,0,0,0,0,0,0,0,0,0,0,2
2011,1,359,0,0,0,0,0,0,2,0,0,0,0,0
2011,2,359,0,0,0,0,0,0,0,0,0,0,0,1
2011,5,359,0,0,1,0,0,0,0,3,0,1,0,0
2011,6,359,0,0,0,0,0,0,1,1,0,0,0,0
2011,7,359,0,0,0,0,0,0,1,0,0,0,0,1
2011,8,359,0,0,0,0,0,0,0,1,0,0,0,0
2011,9,359,0,0,0,0,0,0,0,0,0,0,0,1
2011,10,359,0,0,0,0,0,0,0,0,0,0,0,1
2011,11,359,0,0,0,0,0,0,1,0,0,0,0,0
2011,12,359,0,0,1,0,0,0,0,0,0,0,0,0
2012,1,359,0,0,0,0,0,0,0,1,0,0,0,1
2012,3,359,0,0,0,0,0,0,0,0,0,0,0,1
2012,4,359,0,0,0,0,0,0,0,0,0,0,1,0
2012,5,359,0,0,1,0,0,0,0,2,0,0,0,0
2012,6,359,0,0,0,0,0,0,0,0,0,0,0,1
2012,10,359,0,0,0,0,0,0,0,1,0,0,0,0
2012,11,359,0,0,0,0,0,0,0,1,0,0,0,0
2013,2,359,0,0,0,0,0,0,1,0,0,0,0,0
2013,3,359,0,0,0,0,0,0,0,0,0,0,1,1
2013,5,359,0,0,0,0,0,0,1,1,0,0,0,0
2013,7,359,0,0,0,0,0,0,0,0,0,1,0,1
2013,8,359,0,0,0,0,0,0,0,0,0,1,0,0
2013,9,359,0,0,0,0,0,0,1,0,0,0,0,0
2013,10,359,0,0,0,0,0,0,1,1,0,0,1,1
2013,11,359,0,0,0,0,0,0,1,0,0,0,0,0
2013,12,359,0,0,0,0,0,0,2,0,0,0,0,0
2014,1,359,0,0,0,0,0,0,1,0,0,0,1,0
2014,2,359,0,0,0,0,0,0,0,0,0,0,1,0
2014,3,359,0,0,0,0,0,0,0,1,0,0,11,0
2014,4,359,0,0,0,0,0,0,0,0,0,0,12,0
2014,5,359,0,0,0,0,0,0,0,0,0,0,9,0
2014,6,359,0,0,0,0,0,0,0,0,0,0,2,0
2014,7,359,0,0,0,0,0,0,0,0,0,0,4,0
2014,8,359,0,0,0,0,0,0,0,0,0,0,3,0
2014,10,359,0,0,0,0,0,0,0,0,0,0,2,0
2014,11,359,0,0,0,0,0,0,0,0,0,0,1,0
2014,12,359,0,0,0,0,0,0,0,2,0,0,2,1
2015,1,359,0,0,0,0,0,0,0,0,0,0,1,1
2015,2,359,0,0,0,0,0,0,0,0,0,0,1,0
2015,5,359,0,0,0,0,0,0,0,0,0,0,1,1
2015,6,359,0,0,0,0,0,0,0,0,0,0,2,1
2015,8,359,0,0,0,0,0,0,0,1,0,0,0,0
2015,9,359,0,0,1,0,0,0,0,0,0,0,0,0
2015,11,359,0,0,0,0,0,0,0,0,0,0,1,1
2016,1,359,0,0,0,0,0,0,1,0,0,0,1,0
2016,3,359,0,0,1,0,0,0,0,0,0,0,1,0
2016,4,359,0,0,0,0,0,0,0,0,0,0,1,1
2016,6,359,0,0,0,0,0,0,1,1,0,0,0,1
2016,7,359,0,0,0,0,0,0,1,0,0,0,0,0
2016,8,359,0,0,0,0,0,0,0,0,0,0,1,0
2016,10,359,0,0,0,0,0,0,0,0,0,0,1,1
2016,11,359,0,0,0,0,0,0,0,1,0,0,1,2
2016,12,359,0,0,0,0,0,0,0,0,0,1,1,2
2007,3,361,0,0,0,0,0,1,0,0,0,0,0,0
2008,2,361,0,0,0,0,0,1,0,0,0,0,0,0
2008,4,361,0,0,0,0,0,1,0,0,0,0,0,0
2009,12,361,0,0,0,0,0,1,0,0,0,0,0,0
2010,2,361,0,0,0,0,0,1,0,0,0,0,0,0
2010,7,361,0,0,0,0,0,1,0,0,0,0,0,0
2011,1,361,0,0,0,0,0,1,0,0,0,0,0,0
2011,3,361,0,0,0,0,0,1,0,0,0,0,0,0
2012,4,361,0,0,0,0,0,1,0,0,0,0,0,0
2012,5,361,0,0,0,0,0,1,0,0,0,0,0,0
2012,11,361,0,0,0,0,0,1,0,0,0,0,0,0
2013,3,361,0,0,0,0,0,1,0,0,0,0,0,0
2013,10,361,0,0,0,0,0,1,0,0,0,0,0,0
2014,6,361,0,0,0,0,0,1,0,0,0,0,0,0
2014,8,361,0,0,0,0,0,1,0,0,0,0,0,0
2014,10,361,0,0,0,0,0,1,0,0,0,0,0,0
2006,1,362,0,0,1,0,0,0,1,1,12,0,0,1
2006,2,362,0,0,0,0,0,0,0,0,20,0,0,0
2006,3,362,0,0,0,0,0,0,0,0,21,0,0,2
2006,4,362,0,0,0,0,0,0,0,2,15,0,0,0
2006,5,362,0,0,0,0,1,0,0,0,5,0,0,1
2006,6,362,0,0,0,0,0,0,0,1,19,0,0,0
2006,7,362,1,0,0,0,0,0,0,2,18,0,0,0
2006,8,362,0,0,0,0,0,0,2,1,19,0,0,1
2006,9,362,1,0,1,0,0,0,0,0,13,0,0,0
2006,10,362,3,0,0,0,0,0,0,1,10,0,0,1
2006,11,362,2,0,0,0,0,0,0,0,19,0,0,1
2006,12,362,0,1,1,0,0,0,0,1,14,0,0,1
2007,1,362,1,0,0,0,0,0,0,0,4,0,0,0
2007,2,362,3,0,0,0,0,0,1,1,8,0,0,0
2007,3,362,0,0,0,0,0,0,0,0,14,0,0,0
2007,4,362,1,0,0,0,0,1,0,1,22,0,0,0
2007,5,362,1,1,0,0,0,0,0,0,9,0,0,2
2007,6,362,0,0,0,0,0,0,0,0,12,0,0,0
2007,7,362,0,0,0,0,0,0,1,1,19,0,0,0
2007,8,362,1,0,0,0,1,0,0,0,24,0,0,0
2007,9,362,0,0,0,0,0,0,0,0,18,0,0,0
2007,10,362,0,0,0,0,0,0,0,0,8,0,0,0
2007,11,362,1,0,0,0,0,0,0,2,17,0,0,0
2007,12,362,0,0,0,0,0,0,0,1,16,0,0,0
2008,1,362,0,0,0,0,0,0,0,3,19,0,0,0
2008,2,362,0,0,0,0,0,0,0,3,20,0,0,0
2008,3,362,2,0,0,0,0,0,0,1,20,0,0,0
2008,4,362,0,1,0,0,0,0,0,0,17,0,0,0
2008,5,362,2,0,0,0,0,0,1,1,18,0,0,0
2008,6,362,0,0,0,0,0,0,0,0,19,0,0,0
2008,7,362,1,0,0,0,0,0,1,0,23,0,0,0
2008,8,362,0,0,0,0,0,0,1,1,18,0,0,0
2008,9,362,0,0,0,0,0,0,0,0,14,0,0,0
2008,10,362,2,0,0,0,0,0,1,0,24,0,0,0
2008,11,362,0,0,0,0,0,0,0,0,12,0,0,0
2008,12,362,0,0,0,0,0,0,0,0,15,0,0,0
2009,1,362,0,0,0,0,0,0,1,0,14,0,0,0
2009,2,362,0,0,0,0,0,0,0,0,12,0,0,0
2009,3,362,0,0,0,0,0,0,0,0,19,0,0,0
2009,4,362,1,0,0,0,0,0,0,0,8,0,0,0
2009,5,362,1,1,0,0,0,0,0,0,12,0,0,0
2009,6,362,0,0,0,0,0,0,0,0,11,0,0,1
2009,7,362,0,1,0,0,0,0,0,1,9,0,0,0
2009,8,362,0,0,0,0,0,0,0,0,9,0,0,0
2009,9,362,1,0,0,0,0,0,0,1,9,0,0,0
2009,10,362,0,0,0,0,0,3,0,6,13,0,0,0
2009,11,362,0,0,0,0,0,5,0,3,8,0,0,0
2009,12,362,0,0,0,0,0,4,0,6,10,0,0,0
2010,1,362,1,0,0,0,0,3,0,4,8,0,0,0
2010,2,362,0,0,0,0,0,1,0,2,11,0,0,0
2010,3,362,0,0,0,0,0,2,0,4,11,0,0,2
2010,4,362,0,1,0,0,0,1,0,2,6,0,0,0
2010,5,362,1,0,0,0,0,1,0,2,4,0,0,0
2010,6,362,0,0,0,0,0,1,0,1,2,0,0,0
2010,7,362,0,0,0,0,0,2,0,0,7,0,0,0
2010,8,362,0,0,0,0,0,1,0,0,7,1,0,0
2010,9,362,0,0,0,0,0,2,0,1,5,0,0,0
2010,10,362,0,0,0,0,0,0,0,2,7,0,0,0
2010,11,362,0,0,0,0,0,0,0,0,3,0,0,0
2010,12,362,0,0,0,0,0,0,0,0,7,0,0,0
2011,1,362,0,0,0,0,0,1,0,1,8,0,0,0
2011,2,362,0,0,0,0,0,0,0,2,9,0,0,0
2011,3,362,0,0,0,0,0,0,0,0,12,0,0,0
2011,4,362,0,0,0,0,0,0,0,3,7,0,0,1
2011,5,362,0,0,0,0,0,0,0,1,11,0,0,0
2011,6,362,0,0,0,0,0,0,1,3,8,0,0,0
2011,7,362,0,0,0,0,0,0,0,1,13,0,0,0
2011,8,362,0,0,0,0,0,0,0,3,10,0,0,0
2011,9,362,0,0,0,0,0,0,0,2,8,0,0,0
2011,10,362,0,0,0,0,0,0,0,1,4,0,0,1
2011,11,362,0,0,0,0,0,2,0,0,5,0,0,0
2011,12,362,0,0,0,0,0,0,0,0,5,0,0,0
2012,1,362,1,0,0,0,0,0,0,0,8,0,0,0
2012,2,362,0,0,0,0,0,0,0,1,6,0,0,0
2012,3,362,0,0,0,0,0,0,0,1,4,0,0,1
2012,4,362,0,0,0,0,0,0,0,0,3,0,0,0
2012,5,362,0,0,0,0,0,0,0,4,9,0,0,0
2012,6,362,0,0,0,0,0,0,0,0,4,0,0,1
2012,7,362,0,0,0,0,0,0,0,0,4,0,1,0
2012,8,362,0,0,0,0,0,0,1,2,5,0,2,0
2012,9,362,0,0,0,0,0,0,0,1,4,0,1,0
2012,10,362,0,0,0,0,0,0,0,1,6,0,2,0
2012,11,362,2,0,0,0,0,0,0,1,5,0,3,0
2012,12,362,0,0,0,0,0,0,0,0,4,0,2,1
2013,1,362,2,0,0,0,0,0,0,1,5,0,2,1
2013,2,362,0,1,0,0,0,0,0,0,3,0,1,0
2013,3,362,0,1,0,0,0,0,0,0,2,0,2,0
2013,4,362,1,0,0,0,0,0,0,1,5,0,0,0
2013,5,362,1,0,0,0,0,0,1,0,2,0,1,0
2013,6,362,0,0,0,0,0,0,0,0,3,0,1,0
2013,7,362,0,0,0,0,0,0,0,2,4,0,1,0
2013,8,362,0,0,0,0,0,0,0,0,1,0,0,1
2013,9,362,0,0,0,0,0,0,0,0,2,0,0,0
2013,10,362,0,0,0,0,0,0,0,1,3,0,0,0
2013,11,362,0,0,0,0,0,0,0,0,1,0,0,1
2013,12,362,0,0,0,0,0,4,0,0,1,0,0,0
2014,1,362,2,0,0,0,0,2,1,0,5,0,0,0
2014,2,362,0,0,0,0,0,2,0,0,0,0,1,0
2014,3,362,0,0,0,0,0,3,0,5,8,0,1,1
2014,4,362,0,0,0,0,0,11,0,1,13,0,0,0
2014,5,362,0,0,0,0,0,11,0,3,10,0,0,0
2014,6,362,0,0,0,0,0,12,0,1,9,0,1,1
2014,7,362,1,0,0,0,0,10,0,1,9,0,1,0
2014,8,362,1,0,0,0,0,6,0,0,7,0,0,0
2014,9,362,0,0,0,0,0,5,0,1,7,0,0,0
2014,10,362,0,0,0,0,0,2,0,0,7,0,1,0
2014,11,362,0,0,0,0,0,2,0,2,6,0,0,0
2014,12,362,0,0,0,0,0,4,0,0,1,0,0,0
2015,1,362,0,0,0,0,0,2,0,1,4,0,0,0
2015,2,362,0,0,0,0,0,2,0,0,4,0,0,0
2015,3,362,0,0,0,0,0,3,0,0,3,0,0,0
2015,4,362,1,0,0,0,0,3,0,0,0,0,0,0
2015,5,362,0,0,0,0,0,6,0,1,1,0,0,0
2015,6,362,0,0,0,0,0,1,0,0,2,0,0,0
2015,7,362,0,0,0,0,0,2,0,0,1,0,0,0
2015,9,362,0,0,0,0,0,1,0,0,4,0,0,0
2015,10,362,0,0,0,0,0,1,0,0,2,0,0,0
2015,11,362,1,0,0,0,0,1,0,1,3,0,0,0
2015,12,362,0,0,0,0,0,1,0,0,1,0,0,0
2016,1,362,0,0,0,0,0,0,0,0,4,0,0,0
2016,2,362,1,0,0,0,0,2,0,0,2,0,0,0
2016,3,362,1,0,0,0,0,1,0,3,3,0,0,0
2016,4,362,0,0,0,0,0,0,0,0,2,0,0,0
2016,5,362,0,0,0,0,0,2,0,0,3,0,0,0
2016,6,362,0,0,0,0,0,2,0,0,3,0,0,0
2016,7,362,0,0,0,0,0,1,0,0,5,0,0,0
2016,8,362,0,0,0,0,0,0,2,0,3,0,0,0
2016,9,362,0,0,0,0,0,1,0,0,3,0,1,0
2016,10,362,0,0,0,0,0,2,0,0,6,0,0,0
2016,11,362,0,0,0,0,0,0,0,0,3,0,1,0
2016,12,362,0,0,0,0,0,1,0,0,6,0,0,0
2006,1,363,2,0,0,0,0,0,1,0,1,0,0,0
2006,2,363,1,0,0,0,0,0,2,0,1,0,0,0
2006,3,363,0,0,0,0,0,0,1,0,0,0,0,0
2006,4,363,0,0,0,0,0,0,1,0,1,0,0,0
2006,5,363,1,0,0,0,0,0,0,0,0,0,0,0
2006,6,363,0,0,0,0,0,0,2,0,0,0,0,1
2006,7,363,1,0,0,0,0,0,1,0,0,0,0,0
2006,8,363,0,0,0,0,0,0,1,0,0,0,0,0
2006,9,363,2,0,0,0,0,0,1,0,0,0,0,1
2006,10,363,0,0,0,0,0,0,0,1,0,0,2,0
2006,11,363,4,0,1,0,0,0,1,0,0,0,1,0
2006,12,363,0,0,0,0,0,0,1,0,0,0,1,0
2007,1,363,2,0,0,0,0,0,0,0,0,0,1,0
2007,2,363,2,0,0,0,0,0,2,0,0,0,0,1
2007,3,363,1,0,0,0,0,0,1,0,1,0,0,1
2007,4,363,1,0,0,0,0,0,1,0,1,0,1,1
2007,5,363,0,0,0,0,0,0,0,0,1,0,1,0
2007,6,363,2,0,0,0,0,0,0,0,0,0,0,0
2007,7,363,1,0,0,0,0,0,0,0,0,0,0,0
2007,8,363,1,0,0,0,0,0,1,0,0,0,0,0
2007,9,363,0,0,0,0,0,0,0,0,0,0,0,1
2007,10,363,0,0,0,0,0,0,0,0,0,0,1,0
2007,11,363,1,0,0,0,0,0,0,0,0,0,0,0
2007,12,363,0,0,0,0,0,0,1,0,0,0,0,0
2008,1,363,0,0,0,0,0,0,1,0,1,0,0,0
2008,2,363,0,0,0,0,0,0,0,0,1,0,0,0
2008,3,363,0,0,0,0,0,0,0,0,1,1,0,0
2008,4,363,0,0,0,0,0,0,3,0,0,0,0,1
2008,6,363,4,0,0,0,0,0,0,0,0,0,0,0
2008,7,363,0,1,0,0,0,0,0,0,0,0,0,0
2008,8,363,1,0,0,0,0,0,0,0,0,0,0,0
2008,9,363,1,1,0,0,0,0,1,0,0,1,0,0
2008,10,363,2,0,0,0,0,0,0,0,0,0,0,0
2008,11,363,0,0,0,0,0,0,0,0,1,0,0,0
2008,12,363,1,0,0,0,0,0,1,0,0,0,0,0
2009,1,363,2,0,0,0,0,0,0,0,0,0,0,0
2009,2,363,3,1,0,3,0,0,1,0,0,0,0,0
2009,3,363,8,0,0,1,0,0,1,0,0,0,0,0
2009,4,363,3,0,0,0,0,0,0,0,0,0,0,0
2009,5,363,6,0,0,1,0,0,0,0,0,0,0,0
2009,6,363,3,0,0,0,0,0,0,0,1,0,0,0
2009,7,363,2,0,0,1,0,0,0,0,0,0,0,0
2009,8,363,1,0,0,0,0,0,0,0,1,0,0,0
2009,9,363,2,0,0,0,0,0,0,0,0,0,0,0
2009,10,363,3,0,0,1,0,0,1,0,0,0,0,0
2009,11,363,2,0,0,0,0,0,2,0,0,0,0,0
2009,12,363,2,0,0,0,0,0,0,0,1,0,0,1
2010,1,363,6,0,0,0,0,0,0,0,1,0,0,0
2010,2,363,1,0,0,0,0,0,0,0,0,0,2,0
2010,3,363,2,0,0,1,0,0,1,0,1,0,2,0
2010,4,363,3,1,0,0,0,0,0,0,0,0,0,0
2010,5,363,2,0,0,1,0,0,1,0,0,0,0,0
2010,6,363,3,0,0,0,0,0,0,0,0,0,0,0
2010,7,363,1,0,0,1,0,0,1,0,0,0,1,0
2010,8,363,2,0,0,0,0,0,0,0,0,0,1,0
2010,10,363,3,0,0,0,0,0,1,9,0,0,0,1
2010,11,363,14,0,0,0,0,0,0,2,6,0,1,0
2010,12,363,9,0,0,0,0,0,0,3,4,0,0,1
2011,1,363,10,0,0,1,0,0,0,5,5,0,0,0
2011,2,363,8,0,0,1,0,0,0,4,2,1,0,1
2011,3,363,10,0,0,2,0,0,0,2,3,0,0,0
2011,4,363,6,0,0,1,0,0,1,4,3,0,0,0
2011,5,363,11,0,0,1,0,0,0,3,1,0,0,0
2011,6,363,11,0,0,1,0,0,1,1,4,0,0,0
2011,7,363,14,0,0,1,0,0,0,0,1,0,0,0
2011,8,363,15,0,0,0,0,0,1,0,3,0,0,0
2011,9,363,12,0,0,0,0,0,0,1,2,0,0,0
2011,10,363,18,0,0,0,0,0,0,0,1,0,0,0
2011,11,363,16,0,0,1,0,0,1,0,0,0,0,0
2011,12,363,16,0,0,1,0,0,0,1,2,0,0,0
2012,1,363,22,0,0,0,0,0,0,0,1,0,0,0
2012,2,363,20,0,0,0,0,0,0,0,1,0,0,0
2012,3,363,18,0,0,0,0,0,0,1,1,0,0,0
2012,4,363,22,0,0,1,0,0,2,1,1,0,0,2
2012,5,363,20,0,0,0,0,0,0,0,0,0,0,13
2012,6,363,19,0,0,0,0,0,1,0,0,0,0,15
2012,7,363,21,0,0,0,0,0,1,0,0,0,1,14
2012,8,363,12,0,0,0,0,0,0,0,2,0,1,12
2012,9,363,14,0,0,0,0,0,0,0,1,0,0,10
2012,10,363,8,0,0,0,0,0,1,0,5,0,0,10
2012,11,363,8,0,0,1,0,0,0,0,10,0,0,10
2012,12,363,15,0,0,1,0,0,1,0,10,0,0,10
2013,1,363,13,0,0,0,0,0,0,0,7,0,1,12
2013,2,363,13,0,0,0,0,0,0,1,7,0,0,8
2013,3,363,15,0,0,0,0,0,1,1,12,0,1,7
2013,4,363,11,0,0,0,0,0,0,0,19,0,0,10
2013,5,363,11,0,0,0,0,0,0,1,8,0,0,6
2013,6,363,9,0,0,0,0,0,1,0,8,0,0,5
2013,7,363,14,0,0,0,0,0,0,1,12,0,0,9
2013,8,363,32,0,0,0,0,0,0,0,2,0,0,4
2013,9,363,16,0,0,0,0,0,1,1,2,0,0,4
2013,10,363,22,0,0,0,0,0,0,0,4,0,0,6
2013,11,363,28,0,0,0,0,0,0,2,2,0,0,6
2013,12,363,21,0,0,0,0,0,0,0,0,0,0,7
2014,1,363,18,0,0,0,0,0,0,0,1,0,0,12
2014,2,363,21,0,0,0,0,0,0,1,2,0,0,5
2014,3,363,15,0,0,0,0,0,0,2,1,0,0,8
2014,4,363,13,0,0,0,0,0,0,0,2,0,0,3
2014,5,363,21,1,0,0,0,0,0,0,2,0,0,8
2014,6,363,11,0,0,0,0,0,1,0,2,0,0,4
2014,7,363,13,0,0,0,0,0,0,1,0,0,0,4
2014,8,363,9,0,0,0,0,0,0,0,1,0,2,4
2014,9,363,16,0,0,0,0,0,1,0,1,0,1,3
2014,10,363,11,0,0,0,0,0,0,0,3,0,1,1
2014,11,363,14,0,0,0,0,0,1,0,5,0,0,5
2014,12,363,8,0,0,0,0,0,1,0,2,0,0,9
2015,1,363,11,0,0,0,0,0,0,0,4,0,0,11
2015,2,363,3,1,0,0,0,0,0,0,2,0,1,5
2015,3,363,5,0,0,0,0,0,1,0,1,0,1,15
2015,4,363,5,0,0,1,0,0,0,1,1,0,1,8
2015,5,363,10,0,0,0,0,0,0,1,3,0,0,13
2015,6,363,6,0,0,0,0,0,0,0,1,0,1,14
2015,7,363,11,0,0,0,0,0,0,0,2,0,1,12
2015,8,363,8,0,0,0,0,0,0,0,0,0,0,13
2015,9,363,6,0,0,0,0,0,0,0,1,0,0,9
2015,10,363,0,1,0,0,0,0,0,0,3,0,1,7
2015,11,363,6,0,0,0,0,0,0,0,2,0,0,8
2015,12,363,5,0,0,0,0,0,0,0,1,0,0,8
2016,1,363,6,0,0,0,0,0,0,0,9,0,3,7
2016,2,363,7,0,0,2,0,0,0,0,12,0,0,7
2016,3,363,3,0,0,5,0,0,0,0,16,0,0,14
2016,4,363,6,0,0,4,0,0,1,0,15,0,0,12
2016,5,363,8,0,0,3,0,0,0,0,10,0,1,4
2016,6,363,4,0,0,1,0,0,0,0,8,0,1,6
2016,7,363,9,0,0,2,0,0,1,10,4,0,0,6
2016,8,363,5,0,0,1,0,0,0,19,2,0,0,7
2016,9,363,6,0,0,2,0,0,0,11,9,0,0,5
2016,10,363,3,0,0,2,0,0,0,14,9,0,0,7
2016,11,363,7,0,0,0,0,0,0,10,3,0,0,6
2016,12,363,3,0,0,1,0,0,0,6,5,0,0,4
2006,1,364,4,5,0,2,0,1,1,3,0,0,0,0
2006,2,364,2,5,0,8,2,1,0,2,0,0,0,1
2006,3,364,6,10,0,8,0,1,2,3,0,0,0,0
2006,4,364,7,7,0,8,0,1,0,0,0,0,0,1
2006,5,364,4,8,3,7,0,3,1,1,0,1,0,1
2006,6,364,7,10,1,8,0,0,0,0,0,0,0,0
2006,7,364,2,8,4,5,0,1,0,1,0,0,0,1
2006,8,364,5,12,4,6,0,0,1,2,0,0,0,0
2006,9,364,5,11,3,3,0,0,0,0,0,0,0,1
2006,10,364,3,18,3,5,0,0,0,2,0,0,0,1
2006,11,364,3,12,0,3,0,1,0,0,0,1,0,0
2006,12,364,2,8,3,5,0,0,0,2,0,0,0,1
2007,1,364,0,6,1,0,0,1,0,0,0,0,0,0
2007,2,364,2,5,0,0,0,1,0,0,0,0,0,0
2007,3,364,2,8,1,2,0,0,0,0,0,0,0,2
2007,4,364,5,12,1,2,1,1,0,1,0,0,0,1
2007,5,364,2,5,0,6,0,1,0,4,0,0,0,1
2007,6,364,2,7,4,5,0,0,0,1,0,1,0,0
2007,7,364,2,9,1,4,1,0,0,1,0,0,0,0
2007,8,364,4,7,1,6,0,1,0,4,0,0,0,0
2007,9,364,3,5,0,6,1,0,0,2,0,0,0,1
2007,10,364,3,4,1,1,1,1,0,1,0,0,0,0
2007,11,364,4,4,1,3,0,0,0,0,0,0,0,0
2007,12,364,6,3,1,5,1,0,0,1,0,0,0,0
2008,1,364,6,6,2,5,0,0,0,0,0,0,0,1
2008,2,364,1,6,1,3,0,1,1,1,0,1,0,1
2008,3,364,3,7,0,1,0,0,0,3,0,10,0,2
2008,4,364,3,3,1,2,0,1,0,1,0,6,0,2
2008,5,364,1,6,0,0,0,2,0,0,0,17,0,1
2008,6,364,2,7,2,1,0,0,1,3,0,18,0,0
2008,7,364,2,5,2,2,0,0,0,1,0,19,0,1
2008,8,364,3,5,0,5,1,0,0,0,0,33,0,2
2008,9,364,3,3,0,2,0,1,0,1,0,40,0,1
2008,10,364,10,6,0,1,0,0,0,1,0,42,0,1
2008,11,364,3,3,0,3,0,0,1,0,0,41,0,0
2008,12,364,3,2,0,2,0,2,0,0,0,40,0,2
2009,1,364,8,3,0,0,0,0,1,1,0,47,0,1
2009,2,364,8,5,0,0,0,0,0,1,0,22,0,0
2009,3,364,4,6,0,1,0,1,1,3,0,23,0,1
2009,4,364,11,8,0,0,0,1,1,0,0,19,0,1
2009,5,364,4,3,1,1,0,0,1,1,0,14,0,2
2009,6,364,8,6,0,0,0,0,0,1,0,31,0,0
2009,7,364,16,7,0,1,0,0,1,1,5,21,0,0
2009,8,364,11,4,0,2,0,1,0,1,5,20,0,0
2009,9,364,14,4,1,0,0,0,0,0,1,13,0,1
2009,10,364,11,5,0,1,1,0,0,0,16,13,0,6
2009,11,364,6,3,1,1,0,0,1,0,10,10,0,23
2009,12,364,5,9,0,1,0,0,1,0,9,13,0,35
2010,1,364,8,2,0,1,1,1,1,0,8,11,0,38
2010,2,364,4,2,0,3,0,0,0,0,11,4,0,38
2010,3,364,9,6,0,2,1,1,0,0,6,5,0,36
2010,4,364,3,5,0,2,0,1,1,0,4,5,0,47
2010,5,364,6,3,0,1,1,2,0,1,3,10,0,35
2010,6,364,6,9,1,2,0,1,1,0,5,10,0,37
2010,7,364,4,5,0,2,0,1,1,0,3,11,0,34
